"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_4","old_5","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"AcCa(10:0)+H",-1.46407636306648,0.326101719628285,-0.76330085574067,-0.440846919959642,2.17744220184765,-7.1781618833741,3.06996792846928,-2.99840491514872,-2.10990617511354,2.86598028550858,-0.63118693336354,-1.59992499184949,0.672407029246218,-1.34198142641393,-0.816990674895469,-1.93125668979836,-2.72407101923589,-2.31876666348115,-1.25753390451967,-1.06430151704598,-1.88995381285282,1.42287736031789,-1.34236762577744
"AcCa(10:1)+H",-5.28397051221686,-3.854444261887,-5.81436590775652,-4.06344079222709,-2.84616416340081,-6.66155874365084,-2.22769578213521,-5.36870881421854,-3.94674541068764,-2.04221656223384,-3.2642706717672,-3.73241484372883,-4.36620407408116,-3.97521541950462,-3.75353211679176,-4.79495239366181,-5.29751938840865,-6.83378874969202,-3.79953833418474,-4.76101972465237,-4.18849979690949,-2.85086373585277,-4.18717082203729
"AcCa(12:0)+H",-1.46078874499506,-0.320355203159681,-1.39612153198896,-0.415926184539307,1.14485084858374,-5.70662970415202,1.76862356061107,-2.80657360123642,-1.16022050110624,1.98224352357581,-0.146182328914452,-1.32943462522041,0.0530776444438427,-0.697933338779633,-0.514093626510935,-1.24720630474318,-2.08242822500915,-1.97416807977967,-0.312627271652947,-0.579326120084285,-0.47173495903962,0.501570006759662,-1.09383597619325
"AcCa(12:1)+H",-3.74411370699055,-3.14226873172426,-5.60272186942464,-2.40898502291952,-3.4692382724424,-5.20487111714214,-5.07470588240946,-4.55444743049311,-2.86100599290969,-1.92800797826497,-3.2904633629513,-2.64770041761263,-2.31814667293969,-2.52370429287889,-1.30442637155605,-3.26220825747008,-4.76288932234071,-5.60948050476905,-1.71809474061129,-3.47038426201859,-2.31971591133967,-3.14610928107595,-3.46696109672696
"AcCa(13:0)+H",-3.04020081612782,-3.88297143691077,-5.75953140061842,-3.22299264960979,-3.7495921008461,-4.37242647963957,-3.14424164981731,-5.34581103259077,-2.94052717383305,-1.326010734748,-2.30991918837761,-2.92882239008707,-3.05907576865719,-3.97551604733813,-3.05176677112586,-3.96687909686396,-4.92794090448259,-3.87498118855157,-2.457859752269,-2.30149236797979,-1.60183020770285,-3.71336641153873,-2.57362232064947
"AcCa(14:0)+H",1.66678318675717,1.70717867573383,0.0993957349632504,1.39252239677078,2.15571126495167,-0.874164216102593,1.26040428932313,-0.692438090847718,1.49485014307115,2.30360266230574,1.97248314660799,1.40036285666189,2.60899069983146,1.30398019475914,1.96291156781,1.43178673842138,-0.476787141097718,-0.299064156432258,2.27501037106003,2.83432262309171,1.82441228854751,2.05512584465022,0.791326847554078
"AcCa(14:2)+H",-5.61372348040153,-4.50199150516966,-5.06784504745352,-4.59845019553764,-3.50763008208208,-9.40181983742277,-7.10361481426665,-5.46266297635999,-3.082091127733,-4.68671914775225,-3.73357889279674,-3.63101784510289,-2.55746969492615,-3.61728404114336,-1.4886046610267,-3.1793399626131,-4.25965380255562,-6.74304880032227,-1.61856027330226,-2.86413538504358,-2.40073219774141,-3.41878853107979,-3.77032498417329
"AcCa(16:0)+H",3.32260489767515,3.28092916270797,2.73665875620801,1.90665488884433,4.07458655057103,1.26969653425703,-0.244243671461408,1.14363450169184,3.13924697131045,3.31799673304614,2.88752686511369,2.60593275739014,5.33868911505492,2.98262638956895,3.254970006413,2.92721596966477,1.01197902027175,1.89383611707429,4.04850550341083,4.40852049562563,2.8912028927586,4.29451571981018,3.18798617689487
"AcCa(16:1)+H",1.53049056483834,2.36602688627431,1.08975788442824,0.832746417049172,2.81915883634444,-0.131535746066898,-2.70327612642833,-0.212365009023564,1.97580328682884,2.17565757839056,1.82912200123418,1.81194148120014,4.10075847847094,2.4116086347818,2.92516090190604,1.99465643843523,-0.672655946123664,-0.591872171005517,3.06533801557593,3.0917424612955,2.2885067493397,2.53180483315777,1.03226609600651
"AcCa(17:0)+H",-1.45846163751659,-0.659265244519706,-2.34994411969059,-1.73921517179645,-0.46359320928071,-3.61849462128833,-4.28881023160982,-3.06550894592951,0.262782468844951,-0.552532173756897,-1.35206218558534,-1.40889352812175,-0.179046652730843,-0.802685013108968,-0.905118576941726,-2.10152348711482,-3.78070110948432,-1.74838103708527,-1.57753179890678,0.62441538799149,-0.246844716676487,-1.28904905182829,-0.0236596851536069
